Repulsive_Exponent,Attractive_Exponent,Temperature,Density,Diffusion_Coefficient,Alpha,Temperature_Critical,Density_Critical
17,7,1.396396,0.316605,0.59790703,0.564945444910454,0.930931,0.316605
17,7,1.396396,0.63321,0.19660918,0.564945444910454,0.930931,0.316605
17,8,0.871216,0.064661,2.08342505,0.474609689948955,0.82973,0.323307
17,8,0.871216,0.323307,0.3995549,0.474609689948955,0.82973,0.323307
17,8,0.871216,0.646614,0.12683927,0.474609689948955,0.82973,0.323307
17,8,1.037162,0.064661,2.44887983,0.474609689948955,0.82973,0.323307
17,8,1.037162,0.323307,0.47042668,0.474609689948955,0.82973,0.323307
17,8,1.037162,0.646614,0.14716915,0.474609689948955,0.82973,0.323307
17,8,1.244595,0.064661,2.81398959,0.474609689948955,0.82973,0.323307
17,8,1.244595,0.323307,0.54900307,0.474609689948955,0.82973,0.323307
17,8,1.244595,0.646614,0.17184247,0.474609689948955,0.82973,0.323307
17,9,0.79964,0.065996,1.92493523,0.413906120798602,0.761562,0.32998
17,9,0.79964,0.32998,0.36697435,0.413906120798602,0.761562,0.32998
17,9,0.79964,0.65996,0.10991221,0.413906120798602,0.761562,0.32998
17,9,0.951952,0.065996,2.21160416,0.413906120798602,0.761562,0.32998
17,9,0.951952,0.32998,0.41807466,0.413906120798602,0.761562,0.32998
17,9,0.951952,0.65996,0.13204819,0.413906120798602,0.761562,0.32998
17,9,1.142343,0.065996,2.61252571,0.413906120798602,0.761562,0.32998
17,9,1.142343,0.32998,0.49750031,0.413906120798602,0.761562,0.32998
17,9,1.142343,0.65996,0.15112722,0.413906120798602,0.761562,0.32998
17,10,0.747928,0.067478,1.79370476,0.370199297690036,0.712312,0.337392
17,10,0.747928,0.337392,0.32942527,0.370199297690036,0.712312,0.337392
17,10,0.747928,0.674784,0.0981284,0.370199297690036,0.712312,0.337392
17,10,0.89039,0.067478,2.05337593,0.370199297690036,0.712312,0.337392
17,10,0.89039,0.337392,0.39535298,0.370199297690036,0.712312,0.337392
17,10,0.89039,0.674784,0.11450933,0.370199297690036,0.712312,0.337392
17,10,1.068468,0.067478,2.44202694,0.370199297690036,0.712312,0.337392
17,10,1.068468,0.337392,0.46377054,0.370199297690036,0.712312,0.337392
17,10,1.068468,0.674784,0.13622034,0.370199297690036,0.712312,0.337392
17,11,0.70946,0.06896,1.69451369,0.337158411054087,0.675676,0.344801
17,11,0.70946,0.344801,0.30947444,0.337158411054087,0.675676,0.344801
17,11,0.70946,0.689602,0.08807756,0.337158411054087,0.675676,0.344801
